image,col1_N,col2_N,col1_TSA,col2_TSA,col1_CH,col2_CH,col1_TP,col2_TP
13_13_0.png,13,13,11945,11937,141078.00000000006,191563.50000000006,1224,1216
13_13_1.png,13,13,23461,23509,229319.0000000001,161730.5,1716,1724
13_13_10.png,13,13,27225,27301,167448.99999999994,219760.99999999988,1856,1860
13_13_11.png,13,13,28573,28901,139314.0,190015.49999999997,1912,1916
13_13_12.png,13,13,10633,10729,152555.49999999997,216769.00000000006,1144,1140
13_13_13.png,13,13,28085,28421,172355.5,233483.5,1872,1896
13_13_14.png,13,13,8441,8437,152149.5,199471.50000000006,1024,1024
13_13_15.png,13,13,36873,36637,257878.00000000006,173854.0,2152,2152
13_13_16.png,13,13,15181,15161,180555.99999999997,130738.99999999997,1388,1384
13_13_17.png,13,13,27073,27413,206897.49999999997,154538.50000000006,1848,1856
13_13_18.png,13,13,33429,33477,225599.00000000003,170878.00000000006,2072,2068
13_13_19.png,13,13,20453,20449,178780.00000000006,233781.0,1608,1604
13_13_2.png,13,13,15561,15629,131396.5,190973.99999999994,1412,1384
13_13_20.png,13,13,15357,15541,169408.00000000006,241970.50000000003,1376,1404
13_13_21.png,13,13,20793,20593,197748.00000000003,141649.49999999997,1608,1608
13_13_22.png,13,13,10561,10369,178803.99999999997,130552.50000000003,1148,1140
13_13_23.png,13,13,22857,22757,211475.5,160611.49999999994,1708,1696
13_13_24.png,13,13,10001,9977,159666.0,215962.0,1104,1104
13_13_25.png,13,13,30737,30449,160529.99999999997,218531.5,1972,1964
13_13_26.png,13,13,24209,24037,246643.50000000003,183677.99999999994,1748,1744
13_13_27.png,13,13,17825,17917,143688.5,196328.0,1492,1500
13_13_28.png,13,13,8513,8561,212921.49999999997,150716.0,1032,1028
13_13_29.png,13,13,24521,24889,188885.00000000003,266755.4999999999,1764,1784
13_13_3.png,13,13,39301,39853,196045.99999999994,293534.0,2240,2236
13_13_30.png,13,13,9257,9193,153788.0,114910.0,1076,1068
13_13_31.png,13,13,9497,9661,207750.49999999994,157931.0,1100,1104
13_13_32.png,13,13,28865,29077,176114.5,247696.99999999997,1908,1920
13_13_33.png,13,13,35933,36061,235466.0000000001,163251.5000000001,2132,2148
13_13_34.png,13,13,27669,27213,153569.49999999994,214405.49999999988,1880,1860
13_13_35.png,13,13,33373,33197,258811.49999999997,198353.99999999997,2076,2060
13_13_36.png,13,13,17361,17253,247270.50000000003,174105.50000000003,1476,1472
13_13_37.png,13,13,22169,22037,206501.5,146968.00000000003,1680,1672
13_13_38.png,13,13,29913,29685,218886.5,163460.0,1944,1944
13_13_39.png,13,13,25205,25253,162344.0,212367.5,1788,1772
13_13_4.png,13,13,36293,36225,189917.49999999994,249089.0,2132,2140
13_13_40.png,13,13,9417,9337,130906.50000000001,182266.5,1096,1076
13_13_41.png,13,13,13121,13165,209013.49999999994,155678.50000000006,1284,1284
13_13_42.png,13,13,25449,25769,255799.0,196151.00000000003,1808,1808
13_13_43.png,13,13,40321,40321,261707.9999999999,195810.49999999997,2248,2268
13_13_44.png,13,13,9969,9937,160965.49999999997,214015.9999999999,1100,1124
13_13_45.png,13,13,8609,8621,136589.5,184071.99999999997,1040,1040
13_13_46.png,13,13,31869,32213,221755.50000000003,162416.0,2004,2024
13_13_47.png,13,13,29977,30005,288760.5,216346.49999999997,1952,1956
13_13_48.png,13,13,35741,35585,249021.0,187039.49999999997,2140,2152
13_13_49.png,13,13,16241,16293,191943.50000000003,143759.5,1428,1424
